bin_id,timestamp,fill_level,fill_rate_per_hour,hour,day_of_week,last_collection_minutes_ago,time_to_full_hours,is_censored
BIN_1001,2026-07-14T00:00:00Z,16.3,0.0,0,1,0.0,31.0,False
BIN_1001,2026-07-14T00:30:00Z,17.5,2.3999999999999986,0,1,30.0,30.5,False
BIN_1001,2026-07-14T01:00:00Z,18.6,2.200000000000003,1,1,60.0,30.0,False
BIN_1001,2026-07-14T01:30:00Z,19.5,1.7999999999999972,1,1,90.0,29.5,False
BIN_1001,2026-07-14T02:00:00Z,21.2,3.3999999999999986,2,1,120.0,29.0,False
BIN_1001,2026-07-14T02:30:00Z,22.7,3.0,2,1,150.0,28.5,False
BIN_1001,2026-07-14T03:00:00Z,23.7,2.0,3,1,180.0,28.0,False
BIN_1001,2026-07-14T03:30:00Z,25.4,3.3999999999999986,3,1,210.0,27.5,False
BIN_1001,2026-07-14T04:00:00Z,27.7,4.600000000000001,4,1,240.0,27.0,False
BIN_1001,2026-07-14T04:30:00Z,29.3,3.200000000000003,4,1,270.0,26.5,False
BIN_1001,2026-07-14T05:00:00Z,29.1,-0.3999999999999986,5,1,300.0,26.0,False
BIN_1001,2026-07-14T05:30:00Z,29.6,1.0,5,1,330.0,25.5,False
BIN_1001,2026-07-14T06:00:00Z,29.5,-0.20000000000000284,6,1,360.0,25.0,False
BIN_1001,2026-07-14T06:30:00Z,31.3,3.6000000000000014,6,1,390.0,24.5,False
BIN_1001,2026-07-14T07:00:00Z,32.6,2.6000000000000014,7,1,420.0,24.0,False
BIN_1001,2026-07-14T07:30:00Z,34.3,3.3999999999999915,7,1,450.0,23.5,False
BIN_1001,2026-07-14T08:00:00Z,35.3,2.0,8,1,480.0,23.0,False
BIN_1001,2026-07-14T08:30:00Z,37.6,4.6000000000000085,8,1,510.0,22.5,False
BIN_1001,2026-07-14T09:00:00Z,37.5,-0.20000000000000284,9,1,540.0,22.0,False
BIN_1001,2026-07-14T09:30:00Z,38.8,2.5999999999999943,9,1,570.0,21.5,False
BIN_1001,2026-07-14T10:00:00Z,38.5,-0.5999999999999943,10,1,600.0,21.0,False
BIN_1001,2026-07-14T10:30:00Z,39.7,2.4000000000000057,10,1,630.0,20.5,False
BIN_1001,2026-07-14T11:00:00Z,41.4,3.3999999999999915,11,1,660.0,20.0,False
BIN_1001,2026-07-14T11:30:00Z,42.6,2.4000000000000057,11,1,690.0,19.5,False
BIN_1001,2026-07-14T12:00:00Z,42.8,0.3999999999999915,12,1,720.0,19.0,False
BIN_1001,2026-07-14T12:30:00Z,43.9,2.200000000000003,12,1,750.0,18.5,False
BIN_1001,2026-07-14T13:00:00Z,44.7,1.6000000000000085,13,1,780.0,18.0,False
BIN_1001,2026-07-14T13:30:00Z,46.6,3.799999999999997,13,1,810.0,17.5,False
BIN_1001,2026-07-14T14:00:00Z,47.5,1.7999999999999972,14,1,840.0,17.0,False
BIN_1001,2026-07-14T14:30:00Z,48.5,2.0,14,1,870.0,16.5,False
BIN_1001,2026-07-14T15:00:00Z,50.0,3.0,15,1,900.0,16.0,False
BIN_1001,2026-07-14T15:30:00Z,50.8,1.5999999999999943,15,1,930.0,15.5,False
BIN_1001,2026-07-14T16:00:00Z,51.5,1.4000000000000057,16,1,960.0,15.0,False
BIN_1001,2026-07-14T16:30:00Z,51.8,0.5999999999999943,16,1,990.0,14.5,False
BIN_1001,2026-07-14T17:00:00Z,52.8,2.0,17,1,1020.0,14.0,False
BIN_1001,2026-07-14T17:30:00Z,54.4,3.200000000000003,17,1,1050.0,13.5,False
