bin_id,timestamp,fill_level,fill_rate_per_hour,hour,day_of_week,last_collection_minutes_ago,time_to_full_hours
BIN_1001,2026-07-14T00:00:00Z,14.8,0.0,0,1,0.0,29.0
BIN_1001,2026-07-14T00:30:00Z,16.5,3.3999999999999986,0,1,30.0,28.5
BIN_1001,2026-07-14T01:00:00Z,17.4,1.7999999999999972,1,1,60.0,28.0
BIN_1001,2026-07-14T01:30:00Z,18.7,2.6000000000000014,1,1,90.0,27.5
BIN_1001,2026-07-14T02:00:00Z,19.2,1.0,2,1,120.0,27.0
BIN_1001,2026-07-14T02:30:00Z,20.2,2.0,2,1,150.0,26.5
BIN_1001,2026-07-14T03:00:00Z,21.7,3.0,3,1,180.0,26.0
BIN_1001,2026-07-14T03:30:00Z,22.6,1.8000000000000043,3,1,210.0,25.5
BIN_1001,2026-07-14T04:00:00Z,24.6,4.0,4,1,240.0,25.0
BIN_1001,2026-07-14T04:30:00Z,26.8,4.399999999999999,4,1,270.0,24.5
BIN_1001,2026-07-14T05:00:00Z,27.3,1.0,5,1,300.0,24.0
BIN_1001,2026-07-14T05:30:00Z,28.1,1.6000000000000014,5,1,330.0,23.5
BIN_1001,2026-07-14T06:00:00Z,30.4,4.599999999999994,6,1,360.0,23.0
BIN_1001,2026-07-14T06:30:00Z,31.6,2.4000000000000057,6,1,390.0,22.5
BIN_1001,2026-07-14T07:00:00Z,32.9,2.5999999999999943,7,1,420.0,22.0
BIN_1001,2026-07-14T07:30:00Z,33.7,1.6000000000000085,7,1,450.0,21.5
BIN_1001,2026-07-14T08:00:00Z,35.0,2.5999999999999943,8,1,480.0,21.0
BIN_1001,2026-07-14T08:30:00Z,36.1,2.200000000000003,8,1,510.0,20.5
BIN_1001,2026-07-14T09:00:00Z,37.1,2.0,9,1,540.0,20.0
BIN_1001,2026-07-14T09:30:00Z,38.8,3.3999999999999915,9,1,570.0,19.5
BIN_1001,2026-07-14T10:00:00Z,41.3,5.0,10,1,600.0,19.0
BIN_1001,2026-07-14T10:30:00Z,42.6,2.6000000000000085,10,1,630.0,18.5
BIN_1001,2026-07-14T11:00:00Z,44.4,3.5999999999999943,11,1,660.0,18.0
BIN_1001,2026-07-14T11:30:00Z,46.4,4.0,11,1,690.0,17.5
BIN_1001,2026-07-14T12:00:00Z,47.0,1.2000000000000028,12,1,720.0,17.0
BIN_1001,2026-07-14T12:30:00Z,48.5,3.0,12,1,750.0,16.5
BIN_1001,2026-07-14T13:00:00Z,49.1,1.2000000000000028,13,1,780.0,16.0
BIN_1001,2026-07-14T13:30:00Z,50.0,1.7999999999999972,13,1,810.0,15.5
BIN_1001,2026-07-14T14:00:00Z,50.3,0.5999999999999943,14,1,840.0,15.0
BIN_1001,2026-07-14T14:30:00Z,52.5,4.400000000000006,14,1,870.0,14.5
BIN_1001,2026-07-14T15:00:00Z,53.7,2.4000000000000057,15,1,900.0,14.0
BIN_1001,2026-07-14T15:30:00Z,55.3,3.1999999999999886,15,1,930.0,13.5
BIN_1001,2026-07-14T16:00:00Z,56.8,3.0,16,1,960.0,13.0
BIN_1001,2026-07-14T16:30:00Z,59.1,4.6000000000000085,16,1,990.0,12.5
BIN_1001,2026-07-14T17:00:00Z,60.0,1.7999999999999972,17,1,1020.0,12.0
BIN_1001,2026-07-14T17:30:00Z,61.8,3.5999999999999943,17,1,1050.0,11.5
BIN_1001,2026-07-14T18:00:00Z,63.6,3.6000000000000085,18,1,1080.0,11.0
BIN_1001,2026-07-14T18:30:00Z,64.4,1.6000000000000085,18,1,1110.0,10.5
BIN_1001,2026-07-14T19:00:00Z,64.2,-0.4000000000000057,19,1,1140.0,10.0
BIN_1001,2026-07-14T19:30:00Z,65.7,3.0,19,1,1170.0,9.5
BIN_1001,2026-07-14T20:00:00Z,66.1,0.799999999999983,20,1,1200.0,9.0
BIN_1001,2026-07-14T20:30:00Z,67.5,2.8000000000000114,20,1,1230.0,8.5
BIN_1001,2026-07-14T21:00:00Z,68.6,2.1999999999999886,21,1,1260.0,8.0
BIN_1001,2026-07-14T21:30:00Z,70.9,4.600000000000023,21,1,1290.0,7.5
BIN_1001,2026-07-14T22:00:00Z,72.7,3.5999999999999943,22,1,1320.0,7.0
BIN_1001,2026-07-14T22:30:00Z,73.8,2.1999999999999886,22,1,1350.0,6.5
BIN_1001,2026-07-14T23:00:00Z,75.5,3.4000000000000057,23,1,1380.0,6.0
BIN_1001,2026-07-14T23:30:00Z,75.9,0.8000000000000114,23,1,1410.0,5.5
BIN_1001,2026-07-15T00:00:00Z,77.3,2.799999999999983,0,2,1440.0,5.0
BIN_1001,2026-07-15T00:30:00Z,79.3,4.0,0,2,1470.0,4.5
BIN_1001,2026-07-15T01:00:00Z,81.5,4.400000000000006,1,2,1500.0,4.0
